id	中文	韩文
65	重置了团队副本第 %s 章	길드 던전 제%s장을 초기화하였습니다.
66	分配了一次团队副本战利品。	길드 던전 전리품을 한 번 분배했습니다.
67	玩家%s充值%s元宝	플레이어%s,%s원보 충전
68	玩家%s等级提升到了%s级	%s님이 %s레벨이 되었습니다.
69	经过英勇的奋战 %s 排名提升到 %s 名	님이 %s님을 이기고 %s위에 랭크되었습니다.
70	免费抽卡	무료로 카드 뽑기
71	金币抽卡	골드로 카드 뽑기
72	元宝抽卡	원보로 카드 뽑기
73	恭喜 %s 获得五星神将 %s	%s님이 5성 무장 %s을(를) 획득했습니다.
74	恭喜 %s 获得六星神将 %s	%s님이 6성 신장 %s을(를) 획득했습니다.
75	玩家 %s 鸿运当头开出了 %s 星卡	플레이어%s이(가) 행운이 따라 %s성 카드를 뽑았습니다.
76	限时神将抽卡奖励	신장뽑기 포인트보상
77	恭喜主公,您在本次活动中积分达到 %s 获得奖品	축하드립니다, 주공. 이번 이벤트에서 쌓은 포인트가 %s(이)므로 상품을 획득할 수 있습니다.
78	通关副本并且获得3星评价后,就可以使用扫荡功能啦,这么酸爽的功能快一起去体验下吧！	던전을 통과하여 3성 평가를 얻을 경우, 소탕 기능을 사용할 수 있습니다. 이 편리한 기능을 체험해보시기 바랍니다.
79	士兵升级功能开启	병사 육성 메뉴가 오픈되었습니다.
80	偏将功能开启引导	편장 기능 오픈 가이드
81	天梯系统开启引导	천계 시스템 오픈 가이드
82	主城系统开启引导	주성 시스템 오픈 가이드
83	七星坛系统开启引导	칠성단 시스템 오픈 가이드
84	工会系统开启引导	길드 시스템 오픈 가이드
85	血战系统开启引导	혈전 시스템 오픈 가이드
86	VIP4以上玩家花费1000元宝可购买成长基金，购买成功后等级达到指定等级可以领取对应元宝，请各位主公努力升级吧!	VIP4 등급 이상 유저 한정 이벤트! 1,000원보 투자하고 20,000원보 받아가세요!
87	每日vip礼包	일일 VIP 선물
88	尊敬的vip用户，这是您的礼包，记得每天上线领取噢!	VIP전용 선물입니다. 매일 로그인하시고 받아가세요!
89	排名[%s]到[%s]可获得	랭킹 [%s]~[%s]위 획득 보상 :
90	排名[%s]可获得	랭킹 [%s]위 획득 보상 :
91	元宝	원보
92	体力	활력
93	武魂	무혼
94	金币	은전
95	魂晶	수정
96	六星神将	6성무장
97	血战洛阳元宝结算	혈전 결산
98	这是你应得的，勇士。收下它吧，希望能助你一统天下！	주공께서 혈전에서 세우신 공적에 대한 보상입니다! 천하 통일에 도움이 되시기를 바랍니다!
99	十连抽返现	10연속뽑기 환급선물
100	恭喜主公获得首次十连抽返现奖励	10연속뽑기 환급 선물을 받았습니다.
101	恭喜%s玩家将五星卡牌%s进阶到了皇级	%s님이 5성 무장 %s을(를) 황으로 진화 하였습니다.
102	恭喜%s玩家将六星卡牌%s进阶到了王级	%s님이 6성 신장 %s을 왕으로 진화 하였습니다.
103	恭喜%s玩家将六星卡牌%s进阶到了皇级	%s님이 6성 신장 %s을 황으로 진화 완료 하였습니다.
104	经过英勇的奋战，玩家 <%s> 通过了血战第 <%s> 关	격렬한 전투를 통해 <%s>님이 혈전 제<%s>관을 통과 하였습니다.
105	您天梯的排名在%s~%s之间,获得以下奖励	천계 랭킹 %s~%s위의 보상으로, 아래 보상아이템을 받았습니다.
106	充值优惠结算	충전이벤트결산
107	感谢您参加本次优惠活动，以下是您获得的奖励	이벤트에 참여해주셔서 감사합니다. 보상은 아래와 같습니다.
108	赠送150点体力请主公笑纳	점심 활력: 12:00 ~ 14:00                   정해진 시간에 로그인 해서 우편함을          확인 해야만 활력을 지급 받을 수 있습니다.  주공~! 150활력을 받았습니다.
109	赠送150点体力请主公笑纳	점심 활력: 18:00 ~ 20:00                   정해진 시간에 로그인 해서 우편함을          확인 해야만 활력을 지급 받을 수 있습니다.  주공~! 150활력을 받았습니다.
110	赠送150点体力请主公笑纳	점심 활력: 21:00 ~ 23:00                   정해진 시간에 로그인 해서 우편함을          확인 해야만 활력을 지급 받을 수 있습니다.  주공~! 150활력을 받았습니다.
111	经验转移	경험치승계
112	卡牌返还	카드반환
